ORGANIZATION,CITY,STATE,AWARDS,FUNDING,YEAR
"BIOSTATISTICAL PROGRAMMING ASSOC, INC.",ENGLEWOOD,NJ,3,764272,2010
"BIOSTRATEGIES, LC",STATE UNIVERSITY,AR,1,151190,2010
"BIOSTRUXS, LLC",WESTLAKE VILLAGE,CA,1,151800,2010
BIOSURFACES,ASHLAND,MA,1,111079,2010
"BIO-SYNTHESIS, INC.",LEWISVILLE,TX,1,295370,2010
"BIOTECHNICAL SERVICES, INC.",NORTH LITTLE ROCK,AR,1,2267643,2010
"BIOTEX, INC.",HOUSTON,TX,1,149800,2010
"BIOTEX, INC.",HOUSTON,TX,5,1250852,2010
BIOTHERA,EAGAN,MN,1,159140,2010
BLACK HILLS CTR/AMERICAN INDIAN HEALTH,RAPID CITY,SD,1,301593,2010
BLACKROCK MICROSYSTEMS,SALT LAKE CITY,UT,1,101100,2010
"BLH TECHNOLOGIES, INC.",ROCKVILLE,MD,2,2370075,2010
BLINDSIGHT CORPORATION,BERKELEY,CA,2,898252,2010
BLOOD CENTER OF SOUTHEASTERN WISCONSIN,MILWAUKEE,WI,1,1903547,2010
BLOOD CENTER OF SOUTHEASTERN WISCONSIN,MILWAUKEE,WI,13,6155341,2010
BLOOD SYSTEMS RESEARCH INSTITUTE,SAN FRANCISCO,CA,5,2505696,2010
"BLOOD SYSTEMS, INC.",SCOTTSDALE,AZ,2,467994,2010
BLOOMSBURG UNIVERSITY OF PENNSYLVANIA,BLOOMSBURG,PA,1,34848,2010
"BLUE BELT TECHNOLOGIES, INC.",PITTSBURGH,PA,1,172771,2010
BLUEFIELD STATE COLLEGE,BLUEFIELD,WV,1,81000,2010
"BNOAT ONCOLOGY, INC.",AKRON,OH,1,200000,2010
BOISE STATE UNIVERSITY,BOISE,ID,1,211500,2010
"BOLDER BIOTECHNOLOGY, INC.",BOULDER,CO,4,1372577,2010
"BOROPHARM, INC.",NOVI,MI,1,556462,2010
BOSTON BIOMEDICAL RESEARCH INSTITUTE,WATERTOWN,MA,14,9310848,2010
"BOSTON BIOMEDICAL, INC.",NORWOOD,MA,1,485527,2010
BOSTON COLLEGE,CHESTNUT HILL,MA,24,7440837,2010
BOSTON MEDICAL CENTER,BOSTON,MA,81,35092153,2010
BOSTON UNIVERSITY,BOSTON,MA,2,3657737,2010
BOSTON UNIVERSITY,BOSTON,MA,103,38658858,2010
BOSTON UNIVERSITY MEDICAL CAMPUS,BOSTON,MA,2,2340179,2010
BOSTON UNIVERSITY MEDICAL CAMPUS,BOSTON,MA,242,115564461,2010
"BOULDER NONLINEAR SYSTEMS, INC.",LAFAYETTE,CO,1,349354,2010
BOWDOIN COLLEGE,BRUNSWICK,ME,1,202330,2010
BOWLING GREEN STATE UNIV BOWLING GREEN,BOWLING GREEN,OH,6,1393011,2010
BOYCE THOMPSON INST FOR PLANT RESEARCH,ITHACA,NY,4,880855,2010
"BRAIN PLASTICITY, INC.",SAN FRANCISCO,CA,1,370798,2010
"BRAINSYMPHONICS, LLC",NEW BERLIN,WI,1,150000,2010
BRANDEIS UNIVERSITY,WALTHAM,MA,81,26154019,2010
BRENTWOOD BIOMEDICAL RESEARCH INSTITUTE,LOS ANGELES,CA,16,5581416,2010
"BREONICS, INC.",Albany,NY,1,200000,2010
"BRIDGE 12 TECHNOLOGIES, INC.",CAMBRIDGE,MA,1,185083,2010
BRIDGE GLOBAL PHARMACEUTICAL SERVICES,GAITHERSBURG,MD,1,752946,2010
BRIGHAM AND WOMEN'S HOSPITAL,BOSTON,MA,1,25000,2010
BRIGHAM AND WOMEN'S HOSPITAL,BOSTON,MA,577,302335077,2010
BRIGHAM YOUNG UNIVERSITY,PROVO,UT,11,3642568,2010
"BROAD INSTITUTE, INC.",CAMBRIDGE,MA,4,37257219,2010
"BROAD INSTITUTE, INC.",CAMBRIDGE,MA,29,102321457,2010
"BRONX-LEBANON HOSP CTR (BRONX, NY)",NEW YORK,NY,1,712621,2010
BROOKHAVEN SCIENCE ASSOC-BROOKHAVEN LAB,UPTON,NY,11,6598001,2010
BROOKLYN COLLEGE,NEW YORK,NY,19,4685919,2010
BROWN AND HERBRANSON IMAGING,Cupertino,CA,2,561483,2010
BROWN UNIVERSITY,PROVIDENCE,RI,179,65198312,2010
BRYN MAWR COLLEGE,BRYN MAWR,PA,2,413818,2010
BUCK INSTITUTE FOR AGE RESEARCH,NOVATO,CA,29,13146294,2010
BUFFALO STATE COLLEGE,BUFFALO,NY,1,607458,2010
BURNHAM INSTITUTE,LA JOLLA,CA,104,69347765,2010
"BUTLER HOSPITAL (PROVIDENCE, RI)",PROVIDENCE,RI,18,6247435,2010
"C3 JIAN, INC.",SEQUIM,WA,1,100000,2010
"C4 IMAGING, LLC",HOUSTON,TX,1,155758,2010
"CABEZON GROUP, INC.",COLUMBIA,MD,1,915781,2010
"CAERUS MOLECULAR DIAGNOSTICS, INC.",LOS ALTOS,CA,1,250000,2010
"CALASIA PHARMACEUTICALS, INC.",SAN DIEGO,CA,2,480998,2010
"CALCYTE THERAPEUTICS, INC.",SAN DIEGO,CA,2,453263,2010
"CALDERA PHARMACEUTICALS, INC.",LOS ALAMOS,NM,3,598917,2010
CALIBER ASSOCIATES,FAIRFAX,VA,1,327958,2010
"CALIBRANT BIOSYSTEMS, INC.",Gaithersburg,MD,2,1176277,2010
"CALIFORNIA FAMILY HEALTH COUNCIL, INC.",LOS ANGELES,CA,1,35518,2010
CALIFORNIA INSTITUTE FOR MEDICAL RES,SAN JOSE,CA,1,284448,2010
CALIFORNIA INSTITUTE OF TECHNOLOGY,PASADENA,CA,108,56296613,2010
CALIFORNIA PACIFIC MED CTR RES INSTITUTE,SAN FRANCISCO,CA,16,9999429,2010
CALIFORNIA STATE POLY U POMONA,POMONA,CA,9,1732833,2010
CALIFORNIA STATE UNIV BAKERSFIELD,BAKERSFIELD,CA,0,101850,2010
CALIFORNIA STATE UNIV SAN BERNARDINO,SAN BERNARDINO,CA,7,2078965,2010
CALIFORNIA STATE UNIV-DOMINGUEZ HILLS,CARSON,CA,3,480016,2010
CALIFORNIA STATE UNIVERSITY CHICO,CHICO,CA,1,202975,2010
CALIFORNIA STATE UNIVERSITY FRESNO,FRESNO,CA,3,1194224,2010
CALIFORNIA STATE UNIVERSITY FULLERTON,FULLERTON,CA,6,2126412,2010
CALIFORNIA STATE UNIVERSITY LONG BEACH,LONG BEACH,CA,16,3437928,2010
CALIFORNIA STATE UNIVERSITY LOS ANGELES,LOS ANGELES,CA,19,5142210,2010
CALIFORNIA STATE UNIVERSITY NORTHRIDGE,NORTHRIDGE,CA,16,3507214,2010
CALIFORNIA STATE UNIVERSITY SACRAMENTO,SACRAMENTO,CA,2,535889,2010
CALIFORNIA STATE UNIVERSITY SAN MARCOS,SAN MARCOS,CA,12,2380671,2010
CAMBRIDGE HEALTH ALLIANCE,CAMBRIDGE,MA,4,469556,2010
CAMBRIDGE RESEARCH AND INSTRUMENTATION,WOBURN,MA,2,1856699,2010
"CANCER GENETICS, INC.",Rutherford,NJ,1,275195,2010
CANCER PREVENTION INSTIT OF CALIFORNIA,FREMONT,CA,2,4737753,2010
CANCER PREVENTION INSTIT OF CALIFORNIA,FREMONT,CA,8,3053443,2010
"CANCER TARGETED TECHNOLOGY, LLC",Woodinville,WA,1,307641,2010
"CANCER THERAPEUTICS LABORATORIES, INC.",LOS ANGELES,CA,1,299456,2010
"CANTON BIOTECHNOLOGIES, INC.",BALTIMORE,MD,1,173076,2010
"CAPITAL TECHNOLOGY INFORMATION SERVICES,",ROCKVILLE,MD,1,8116526,2010
"CAPTOZYME, LLC",GAINESVILLE,FL,2,250772,2010
"CARACAL, INC.",BUFFALO GROVE,IL,2,488136,2010
"CARBONIX, LLC",LEXINGTON,SC,1,128748,2010
"CARDAX PHARMACEUTICALS, INC.",AIEA,HI,1,460049,2010
"CARDIOFOCUS, INC.",MARLBOROUGH,MA,1,190890,2010
"CARDIOVASCULAR ENGINEERING, INC.",Norwood,MA,1,614035,2010
"CARE TEAM SOLUTIONS, LLC",SAN ANTONIO,TX,1,206335,2010
CARITAS ST. ELIZABETH'S MEDICAL CENTER,BOSTON,MA,4,2100129,2010
CARL T. HAYDEN MEDICAL RESEARCH FDN,PHOENIX,AZ,1,641550,2010
"CARLE CLINIC ASSOCIATION, P C",URBANA,IL,1,821099,2010
CARMELL THERAPEUTICS CORPORATION,PITTSBURGH,PA,1,476549,2010
"CARMOT THERAPEUTICS, INC.",BERKELEY,CA,1,299307,2010
"CARNEGIE INSTITUTION OF WASHINGTON, D.C.",WASHINGTON,DC,14,3409535,2010
CARNEGIE-MELLON UNIVERSITY,PITTSBURGH,PA,1,149549,2010
CARNEGIE-MELLON UNIVERSITY,PITTSBURGH,PA,70,24575337,2010
CAROLINAS MEDICAL CENTER,CHARLOTTE,NC,4,1045609,2010
"CASCADE LIFESCIENCES, INC.",SAN DIEGO,CA,2,536337,2010
CASE WESTERN RESERVE UNIVERSITY,CLEVELAND,OH,384,184382465,2010
"CATABASIS PHARMACEUTICALS, INC.",CAMBRIDGE,MA,1,179900,2010
CATHOLIC UNIVERSITY OF AMERICA,WASHINGTON,DC,5,1180616,2010
CBR INSTITUTE FOR BIOMEDICAL RESEARCH,BOSTON,MA,1,2751701,2010
CBR INSTITUTE FOR BIOMEDICAL RESEARCH,BOSTON,MA,25,14087399,2010
"CCS ASSOCIATES, INC.",MOUNTAIN VIEW,CA,2,3624298,2010
"CDI LABORATORIES, INC.",MAYAGUEZ,PR,1,290854,2010
"CDM GROUP, INC.",BETHESDA,MD,2,905087,2010
CEDAR RAPIDS ONCOLOGY PROJECT,CEDAR RAPIDS,IA,1,209928,2010
CEDARS-SINAI MEDICAL CENTER,LOS ANGELES,CA,73,29796573,2010
"CELDARA MEDICAL, LLC",LEBANON,NH,2,804957,2010
"CELEK PHARMACEUTICALS, LLC",GAITHERSBURG,MD,1,180571,2010
"CELL AND TISSUE SYSTEMS, INC.",NORTH CHARLESTON,SC,3,1301391,2010
"CELL IMAGING SYSTEMS, LLC.",CHESTNUT HILL,MA,0,89375,2010
CELL PODIUM,NEWARK,NJ,1,98857,2010
"CELL PRESERVATION SERVICES, INC.",OWEGO,NY,1,300280,2010
CELLASIC CORPORATION,Hayward,CA,3,850503,2010
"CELLECTA, INC.",MOUNTAIN VIEW,CA,1,199681,2010
"CELLECTA, INC.",MOUNTAIN VIEW,CA,2,1139064,2010
"CELLEX, INC.",ROCKVILLE,MD,1,999989,2010
"CELLSTOCK, LLC",PITTSBURGH,PA,1,124210,2010
CELSION CORPORATION,COLUMBIA,MD,1,182906,2010
CENTER FOR APPLIED LINGUISTICS,WASHINGTON,DC,1,1030317,2010
CENTER FOR CONSTRUCTION RES AND TRAINING,SILVER SPRING,MD,2,4462720,2010
CENTER FOR HEALTH STUDIES,SEATTLE,WA,26,20314641,2010
CENTER FOR INFORMATION TECHNOLOGY,BETHESDA,MD,1,1843140,2010
CENTER FOR PSYCHOLOGICAL CONSULTATION,MADISON,WI,5,1432156,2010
"CENTER FOR RESEARCH TO PRACTICE, INC.",EUGENE,OR,1,602209,2010
"CENTER FOR SOCIAL INNOVATION, LLC",Needham,MA,1,750000,2010
CENTRAL MICHIGAN UNIVERSITY,MOUNT PLEASANT,MI,1,70043,2010
CENTRAL NEW YORK RESEARCH CORPORATION,SYRACUSE,NY,1,372488,2010
"CENTRAL STATE UNIV (WILBERFORCE, OH)",WILBERFORCE,OH,1,861215,2010
CENTRAL WASHINGTON UNIVERSITY,ELLENSBURG,WA,1,390377,2010
"CEREMED, INC.",LOS ANGELES,CA,1,100000,2010
CFD RESEARCH CORPORATION,HUNTSVILLE,AL,2,580695,2010
"CHALKLABS, LLC",BLOOMINGTON,IN,1,200000,2010
CHAMINADE UNIVERSITY OF HONOLULU,HONOLULU,HI,1,874498,2010
"CHANTEST, INC.",CLEVELAND,OH,1,149275,2010
CHARLES R. DREW UNIVERSITY OF MED & SCI,LOS ANGELES,CA,17,18089242,2010
"CHARLES RIVER LABORATORIES INTNTL, INC.",WILMINGTON,MA,6,8946222,2010
CHARLES STARK DRAPER LABORATORY,CAMBRIDGE,MA,8,2410276,2010
"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",MEDFORD,NY,1,962551,2010
"CHEMICA TECHNOLOGIES, INC.",Beaverton,OR,1,373548,2010
"CHEM-MASTER INTERNATIONAL, INC",STONY BROOK,NY,1,656011,2010
CHEROKEE NATION,TAHLEQUAH,OK,1,130472,2010
CHESTNUT HEALTH SYSTEMS,BLOOMINGTON,IL,5,3245452,2010
CHICAGO ASSN FOR RESEARCH & EDUC IN SCI,HINES,IL,1,242143,2010
"CHICAGO PT, LLC",EVANSTON,IL,1,95512,2010
CHICAGO STATE UNIVERSITY,CHICAGO,IL,3,702183,2010
CHILDREN'S DIAGNOSTIC & TREATMENT CENTER,FORT LAUDERDALE,FL,1,524886,2010
CHILDREN'S HOSP PITTSBURGH/UPMC HLTH SYS,PITTSBURGH,PA,1,115356,2010
CHILDREN'S HOSPITAL & RES CTR AT OAKLAND,OAKLAND,CA,1,48358,2010
CHILDREN'S HOSPITAL & RES CTR AT OAKLAND,OAKLAND,CA,31,17793279,2010
CHILDREN'S HOSPITAL (BOSTON),BOSTON,MA,269,105213019,2010
CHILDREN'S HOSPITAL (NEW ORLEANS),NEW ORLEANS,LA,1,475109,2010
CHILDREN'S HOSPITAL AND REG MEDICAL CTR,SEATTLE,WA,69,26494980,2010
CHILDREN'S HOSPITAL LOS ANGELES,LOS ANGELES,CA,1,134049,2010
CHILDREN'S HOSPITAL LOS ANGELES,LOS ANGELES,CA,42,15964240,2010
CHILDREN'S HOSPITAL MED CTR (CINCINNATI),CINCINNATI,OH,1,506233,2010
CHILDREN'S HOSPITAL MED CTR (CINCINNATI),CINCINNATI,OH,239,90270779,2010
CHILDREN'S HOSPITAL MED CTR OF AKRON,AKRON,OH,1,1043477,2010
CHILDREN'S HOSPITAL OF ORANGE COUNTY,ORANGE,CA,1,561413,2010
CHILDRENS HOSPITAL OF PHILADELPHIA,PHILADELPHIA,PA,1,1608352,2010
CHILDRENS HOSPITAL OF PHILADELPHIA,PHILADELPHIA,PA,176,76623628,2010
CHILDREN'S HOSPITAL RESEARCH CENTER,SAN DIEGO,CA,2,1999195,2010
CHILDREN'S HOSPITALS AND CLINICS,MINNEAPOLIS,MN,1,327573,2010
CHILDREN'S MEMORIAL HOSPITAL (CHICAGO),CHICAGO,IL,36,9921591,2010
"CHILDREN'S MERCY HOSP (KANSAS CITY, MO)",KANSAS CITY,MO,5,2213363,2010
CHILDREN'S NATIONAL MEDICAL CENTER,WASHINGTON,DC,1,145800,2010
CHILDREN'S RESEARCH INSTITUTE,WASHINGTON,DC,1,27819,2010
CHILDREN'S RESEARCH INSTITUTE,WASHINGTON,DC,57,24908072,2010
CHILDREN'S TUMOR FOUNDATION,NEW YORK,NY,1,46000,2010
CHINESE COMMUNITY HEALTH RESOURCE CENTER,SAN FRANCISCO,CA,1,170335,2010
CHIRON CORPORATION,Cambridge,MA,1,4688092,2010
CHORDOMA FOUNDATION,GREENSBORO,NC,1,15000,2010
CHRISTIAN BROTHERS UNIVERSITY,MEMPHIS,TN,1,242208,2010
"CHRISTIANA CARE HEALTH SERVICES, INC.",NEWARK,DE,2,1874405,2010
"CIELO MEDSOLUTIONS, LLC",ANN ARBOR,MI,1,562975,2010
"CIENCIA, INC.",EAST HARTFORD,CT,1,529373,2010
CIIT CENTERS FOR HEALTH RESEARCH,RESEARCH TRIANGLE PARK,NC,2,747039,2010
"CIRCLE SOLUTIONS, INC.",MCLEAN,VA,1,3225934,2010
"CIRCULITE, INC.",SADDLE BROOK,NJ,1,1698956,2010
"CISTHERA, INC.",SEATTLE,WA,1,233530,2010
CITY COLLEGE OF NEW YORK,NEW YORK,NY,35,15538263,2010
CITY OF HOPE/BECKMAN RESEARCH INSTITUTE,DUARTE,CA,1,1566442,2010
CITY OF HOPE/BECKMAN RESEARCH INSTITUTE,DUARTE,CA,70,34584564,2010
"CIVATECH ONCOLOGY, INC.",RESEARCH TRIANGLE PARK,NC,1,199266,2010
"CLAREMONT BIOSOLUTIONS, LLC",UPLAND,CA,1,298122,2010
CLAREMONT GRADUATE UNIVERSITY,CLAREMONT,CA,7,4021230,2010
"CLARIAN HEALTH PARTNERS, INC.",INDIANAPOLIS,IN,2,236250,2010
"CLARK AND PARSIA, LLC",WASHINGTON,DC,1,99967,2010
CLARK ATLANTA UNIVERSITY,ATLANTA,GA,2,2912992,2010
"CLARK UNIVERSITY (WORCESTER, MA)",WORCESTER,MA,4,698147,2010
"CLARK-MXR, INC.",DEXTER,MI,1,100000,2010
CLARKSON UNIVERSITY,POTSDAM,NY,2,756357,2010
CLEMSON UNIVERSITY,CLEMSON,SC,23,6920039,2010
CLEVELAND CLINIC FOUNDATION,CLEVELAND,OH,1,1627009,2010
CLEVELAND CLINIC LERNER COL/MED-CWRU,CLEVELAND,OH,2,1017802,2010
CLEVELAND CLINIC LERNER COL/MED-CWRU,CLEVELAND,OH,186,78552464,2010
"CLEVELAND MEDICAL DEVICES, INC.",CLEVELAND,OH,5,2064966,2010
CLEVELAND STATE UNIVERSITY,CLEVELAND,OH,5,1054061,2010
"CLIN-EPR, LLC",LYME,NH,1,300000,2010
"CLINICAL DIRECTORS NETWORK, INC.",NEW YORK,NY,1,845244,2010
CLINICAL IMMUNOLOGY SOCIETY,MILWAUKEE,WI,1,10000,2010
"CLINICAL MR SOLUTIONS, LLC",BROOKFIELD,WI,1,157589,2010
"CLINICAL TOOLS, INC.",CHAPEL HILL,NC,1,375000,2010
CLINICAL TRIALS AND SURVEYS CORPORATION,Owings Mills,MD,1,293478,2010
CLINICAL TRIALS AND SURVEYS CORPORATION,Owings Mills,MD,2,1234866,2010
"CODA GENOMICS, LLC",CARLSBAD,CA,1,565884,2010
"CODA RESEARCH, INC.",SILVER SPRING,MD,2,6505005,2010
"CODEVAX, INC.",ROCHESTER,NY,1,326193,2010
"COGNOSCI, INC.",RESEARCH TRIANGLE PARK,NC,4,1734042,2010
COLD SPRING HARBOR LABORATORY,COLD SPRING HARBOR,NY,67,28231496,2010
"COLLABORATIVE DRUG DISCOVERY, INC.",Burlingame,CA,1,149382,2010
COLLEGE AT BROCKPORT,BROCKPORT,NY,2,438557,2010
COLLEGE AT OLD WESTBURY,OLD WESTBURY,NY,1,211442,2010
COLLEGE AT OSWEGO,OSWEGO,NY,1,364693,2010
COLLEGE AT PURCHASE,PURCHASE,NY,1,207667,2010
COLLEGE OF ST SCHOLASTICA,DULUTH,MN,1,48548,2010
COLLEGE OF ST. CATHERINE,ST. PAUL,MN,1,116426,2010
COLLEGE OF STATEN ISLAND,NEW YORK,NY,1,454135,2010
COLLEGE OF WILLIAM AND MARY,WILLIAMSBURG,VA,1,149961,2010
COLLEGE OF WILLIAM AND MARY,WILLIAMSBURG,VA,7,1313057,2010
COLLEGE ON PROBLEMS OF DRUG DEPENDENCE,PHILADELPHIA,PA,1,173170,2010
COLLINGE AND ASSOCIATES,KITTERY,ME,1,249739,2010
"COLORADO CANCER RESEARCH PROGRAM, INC.",DENVER,CO,1,959745,2010
COLORADO SCHOOL OF MINES,GOLDEN,CO,2,598315,2010
COLORADO STATE UNIVERSITY-FORT COLLINS,FORT COLLINS,CO,1,1000000,2010
COLORADO STATE UNIVERSITY-FORT COLLINS,FORT COLLINS,CO,82,29612261,2010
COLORADO STATE UNIVERSITY-PUEBLO,PUEBLO,CO,2,467213,2010
COLUMBIA UNIV NEW YORK MORNINGSIDE,NEW YORK,NY,1,33132,2010
COLUMBIA UNIV NEW YORK MORNINGSIDE,NEW YORK,NY,111,38433958,2010
COLUMBIA UNIVERSITY HEALTH SCIENCES,NEW YORK,NY,6,14003190,2010
COLUMBIA UNIVERSITY HEALTH SCIENCES,NEW YORK,NY,622,290724425,2010
COLUMBIA UNIVERSITY TEACHERS COLLEGE,NEW YORK,NY,2,871689,2010
COLUMBUS COMMUNITY CLINICAL ONCOLOGY PRG,COLUMBUS,OH,1,750000,2010
COMMONWEALTH MEDICAL COLLEGE,SCRANTON,PA,4,838026,2010
COMMUNICATION DISORDERS TECHNOLOGY,BLOOMINGTON,IN,2,300032,2010
COMMUNITY STRATEGIES,STATE COLLEGE,PA,1,519584,2010
"COMPACT MEMBRANE SYSTEMS, INC.",NEWPORT,DE,1,127123,2010
"COMPENDIA BIOSCIENCE, INC.",ANN ARBOR,MI,1,150596,2010
"COMPOUND FOCUS, INC.",SOUTH SAN FRANCISCO,CA,2,9612879,2010
"COMPREVAL, INC.",GRAYSLAKE,IL,1,148406,2010
"CONFOMETRX, INC.",PALO ALTO,CA,1,250000,2010
CONNECTICUT CHILDREN'S MEDICAL CENTER,HARTFORD,CT,4,708338,2010
CONNECTICUT STATE DEPT OF PUBLIC HEALTH,HARTFORD,CT,2,2478929,2010
"CONSTELLA GROUP, INC.",DURHAM,NC,3,6993752,2010
CONSULTANTS IN BEHAVIORAL RESEARCH,TEMPE,AZ,0,35280,2010
"CONTEXTUAL CHANGE, LLC",RENO,NV,1,197054,2010
"CONTINUUM DYNAMICS, INC.",EWING,NJ,1,381595,2010
"CONVERGENCE MEDICAL DEVICES, INC.",WINCHESTER,MA,1,220621,2010
"CONVERGENT ENGINEERING, INC.",GAINESVILLE,FL,1,391504,2010
COOPER INSTITUTE,DALLAS,TX,1,618163,2010
"COORDINATED PROGRAM DEVELOPMENT, LLC",FLEMINGTON,NJ,1,248901,2010
CORAL REEF RESEARCH FOUNDATION,TALLAHASSEE,FL,1,765271,2010
"CORE 12, LLC",CHICAGO,IL,1,135521,2010
CORGENIX MEDICAL CORPORATION,BROOMFIELD,CO,1,295123,2010
CORIELL INSTITUTE FOR MEDICAL RESEARCH,CAMDEN,NJ,3,7343516,2010
CORNELL UNIVERSITY ITHACA,ITHACA,NY,203,73571461,2010
"CORNERSTONE SYSTEMS NORTHWEST, INC.",LYNDEN,WA,1,196845,2010
"COSMID CORPORATION, LLC",Windsor,CO,1,338124,2010
"COSMO SOFTWARE, INC.",CAMBRIDGE,MA,1,362870,2010
COUNTERVAIL CORPORATION,CAMDEN,NJ,1,346517,2010
"COVALENT IMMUNOLOGY PRODUCTS, INC.",MISSOURI CITY,TX,1,173142,2010
"CREARE, INC.",HANOVER,NH,1,745485,2010
"CREARE, INC.",HANOVER,NH,1,516310,2010
"CREATV MICROTECH, INC.",POTOMAC,MD,1,606543,2010
CREIGHTON UNIVERSITY,OMAHA,NE,1,39021,2010
CREIGHTON UNIVERSITY,OMAHA,NE,21,7132800,2010
"CRESS, LLC",LEXINGTON,MA,1,194579,2010
"CRESTONE, INC.",BOULDER,CO,1,495012,2010
"CRINETICS PHARMACEUTICALS, INC.",Leucadia,CA,1,237895,2010
"CRYSTAL BIOSCIENCE, INC.",EMERYVILLE,CA,1,172499,2010
"CSR, INC.",ARLINGTON,VA,3,3520566,2010
CTR FOR MOLECULAR MEDICINE/IMMUNOLOGY,BELLEVILLE,NJ,1,272245,2010
"CULMINI, INC.",BURLINGAME,CA,1,408212,2010
"CUSTOMKYNETICS, INC.",VERSAILLES,KY,2,597781,2010
"CYBERCONNECT EZ, LLC",STORRS,CT,1,158417,2010
"CYBERLOGIC, INC.",NEW YORK,NY,1,857858,2010
"CYCORP, INC.",AUSTIN,TX,1,377967,2010
"CYNVENIO BIOSYSTEMS, INC.",Westlake Village,CA,1,99996,2010
CYTEL SOFTWARE CORPORATION,CAMBRIDGE,MA,1,100000,2010
CYTEL SOFTWARE CORPORATION,CAMBRIDGE,MA,2,296596,2010
CYTEX THERAPEUTICS INC.,DURHAM,NC,1,775801,2010
"CYTOGRAFT TISSUE ENGINEERING, INC.",NOVATO,CA,2,430327,2010
CYTONICS CORPORATION,JUPITER,FL,1,192300,2010
"DAEDALUS INNOVATIONS, LLC",Philadelphia,PA,1,249620,2010
"DAEDALUS WINGS, INC.",SAN FRANCISCO,CA,2,774037,2010
DAHL NATURAL,TUALATIN,OR,1,100000,2010
"DANA PHARMACEUTICAL CONSULTING, INC.",SOUTH ORANGE,NJ,1,100000,2010
DANA-FARBER CANCER INSTITUTE,BOSTON,MA,202,131577199,2010
"DANYA INTERNATIONAL, INC.",SILVER SPRING,MD,4,1454555,2010
DARTMOUTH COLLEGE,HANOVER,NH,1,247091,2010
DARTMOUTH COLLEGE,HANOVER,NH,188,84007210,2010
"DATA MANAGEMENT SERVICES, INC.",FREDERICK,MD,1,5683000,2010
"DATA NUMERICA INSTITUTE, INC.",BELLEVUE,WA,1,382804,2010
DAVIDSON COLLEGE,DAVIDSON,NC,3,711004,2010
"DAWKINS PRODUCTIONS, INC.",HASTINGS-ON-HUDSON,NY,1,358430,2010
DAYSTAR RESEARCH,OWINGS MILLS,MD,1,99986,2010
DAYTON CLINICAL ONCOLOGY PROGRAM,DAYTON,OH,1,942207,2010
DAYTOP VILLAGE,NEW YORK,NY,1,40000,2010
DB CONSULTING GROUP,SILVER SPRING,MD,1,120000,2010
DE PAUL UNIVERSITY,CHICAGO,IL,5,1443293,2010
DECATUR MEMORIAL HOSPITAL,DECATUR,IL,1,1350000,2010
"DECIMMUNE THERAPEUTICS, INC",Cambridge,MA,2,2032573,2010
DECISION RESEARCH,EUGENE,OR,1,249409,2010
"DEKK-TEC, INC.",NEW ORLEANS,LA,1,444873,2010
DELAWARE STATE UNIVERSITY,DOVER,DE,4,882525,2010
DENTAL DESIGNS OF DALLAS,DALLAS,TX,1,368270,2010
DENVER HEALTH AND HOSPITAL AUTHORITY,DENVER,CO,1,370290,2010
DENVER HEALTH AND HOSPITAL AUTHORITY,DENVER,CO,5,910399,2010
DENVER MUSEUM OF NATURE AND SCIENCE,DENVER,CO,1,176757,2010
"DESCHUTES RESEARCH, INC.",EUGENE,OR,1,398451,2010
"DESIGNMEDIX, INC.",PORTLAND,OR,1,644773,2010
"DETECT BIOSCIENCES, LLC",NEW YORK,NY,1,262427,2010
"DETECTOGEN, INC.",North Grafton,MA,1,198870,2010
"DIABETOMICS, LLC",BEAVERTON,OR,1,149822,2010
"DIAGNOSTICS FOR THE REAL WORLD, LTD",SUNNYVALE,CA,1,1075162,2010
"DIAPEDIA, LLC",STATE COLLEGE,PA,1,740580,2010
"DIFFERENTIAL PROTEOMICS, INC.",NATICK,MA,2,731602,2010
"DIGITAL SCIENCE TECHNOLOGIES, LLC",WASHINGTON CROSSING,PA,2,1151164,2010
DILLARD UNIVERSITY,NEW ORLEANS,LA,2,2470053,2010
"DIMAGI, INC.",CHARLESTOWN,MA,1,413475,2010
"DISCOVERY GENOMICS, INC.",MINNEAPOLIS,MN,1,270673,2010
"DISCOVERYBIOMED, LLC",BIRMINGHAM,AL,2,607493,2010
"DIVERGENCE, INC.",SAINT LOUIS,MO,1,300000,2010
"DMETRIX, INC.",TUCSON,AZ,1,492936,2010
"DM-STAT, INC.",MALDEN,MA,1,852176,2010
"DMX, INC.",West Chester,PA,1,300000,2010
DNA MEDICINE INSTITUTE,Cambridge,MA,1,100000,2010
"DNA POLYMERASE TECHNOLOGY, INC.",ST. LOUIS,MO,1,105905,2010
"DNA SOFTWARE, INC.",ANN ARBOR,MI,4,797983,2010
"DNAMICROARRAY, INC.",SAN DIEGO,CA,1,247244,2010
"DNANEXUS, INC.",PALO ALTO,CA,1,74477,2010
"DNASTAR, INC.",MADISON,WI,1,757868,2010
DOHENY EYE INSTITUTE,LOS ANGELES,CA,4,1782871,2010
DOMINICAN UNIVERSITY,SAN RAFAEL,CA,1,350000,2010
"DON JOHNSTON, INC.",VOLO,IL,1,386253,2010
DONALD DANFORTH PLANT SCIENCE CENTER,ST. LOUIS,MO,1,222058,2010
"DOR BIOPHARMA, INC.",Princeton,NJ,2,2149739,2010
